"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hcfc1r1",1.85592684094212e-11,0.264487207354295,0.662,0.719,4.66375855860346e-07
"Sf3b6",1.86268692481967e-11,0.320526003311777,0.656,0.69,4.68074597337936e-07
"Rps3",1.9451504753034e-11,0.311076897701002,0.936,0.952,4.88796862938991e-07
"Uqcr10",1.95940877604023e-11,0.443429860609303,0.799,0.81,4.92379831331149e-07
"Dynll1",2.06349849617251e-11,0.383725481143133,0.904,0.918,5.1853653710319e-07
"Pygo1",2.09717943276485e-11,-0.274896900466046,0.651,0.81,5.27000219659478e-07
"Ndufb3",2.16653815005275e-11,0.392771978729261,0.849,0.877,5.44429371726755e-07
"Uqcrfs1",2.19405454670314e-11,0.351195432028424,0.699,0.731,5.51343967041031e-07
"Ypel3",2.3204586116377e-11,0.325130147246475,0.888,0.917,5.83108044518438e-07
"Kdm3b",2.44158445562161e-11,-0.261563356055469,0.178,0.256,6.13545757853155e-07
"Btf3",2.46422031704276e-11,0.354736579720999,0.873,0.905,6.19233923469676e-07
"Chmp3",2.48768052880523e-11,-0.396226469322378,0.258,0.391,6.25129240083467e-07
"Swi5",2.82029646215434e-11,0.349979045164411,0.64,0.663,7.08712297974765e-07
"Fcho2",2.97989162523813e-11,-0.388233363205647,0.205,0.318,7.4881696650609e-07
"B830017H08Rik",3.06301167450612e-11,-0.315391590768171,0.419,0.582,7.69704203686642e-07
"Rpl9",3.14225922547098e-11,0.330073618221056,0.991,0.991,7.89618320768603e-07
"Tmem63b",3.21064971716903e-11,-0.345120956104001,0.588,0.784,8.06804167427405e-07
"Ndufb1-ps",3.41966361061443e-11,0.408490020038433,0.903,0.884,8.59327268711299e-07
"Baz2a",3.5614266705856e-11,-0.362127104587439,0.232,0.353,8.94950908051456e-07
"Cfl1",3.73927912133731e-11,0.35995241278843,0.748,0.775,9.39643450400852e-07
"Pds5a",4.00147204521525e-11,-0.327398326101891,0.256,0.377,1.00552991024214e-06
"Ppp1r14b",4.05665246361379e-11,0.273943385544901,0.913,0.939,1.01939619758151e-06
