"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021766","GO:0021766","hippocampus development","4/146","102/28832",0.0392156862745098,7.74429223744292,4.86788082421728,0.00182583863810808,0.0416415158551765,0.0353666748435165,"Nfix/Vps13b/Kirrel3/Cdk5r2",4
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","6/146","254/28832",0.0236220472440945,4.66486894617625,4.18533933788807,0.00191415460763192,0.0416415158551765,0.0353666748435165,"Nme7/Ndufa1/Ndufa7/Acss2/mt-Atp8/mt-Nd6",6
"GO:0006122","GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c","2/146","13/28832",0.153846153846154,30.3814541622761,7.55921665529978,0.00191504160805615,0.0416415158551765,0.0353666748435165,"Uqcrb/Uqcr11",2
"GO:0034088","GO:0034088","maintenance of mitotic sister chromatid cohesion","2/146","13/28832",0.153846153846154,30.3814541622761,7.55921665529978,0.00191504160805615,0.0416415158551765,0.0353666748435165,"Rb1/Smc5",2
"GO:0097501","GO:0097501","stress response to metal ion","2/146","13/28832",0.153846153846154,30.3814541622761,7.55921665529978,0.00191504160805615,0.0416415158551765,0.0353666748435165,"Mt1/Mt2",2
"GO:0098828","GO:0098828","modulation of inhibitory postsynaptic potential","2/146","13/28832",0.153846153846154,30.3814541622761,7.55921665529978,0.00191504160805615,0.0416415158551765,0.0353666748435165,"Rims2/Rims1",2
"GO:1905665","GO:1905665","positive regulation of calcium ion import across plasma membrane","2/146","13/28832",0.153846153846154,30.3814541622761,7.55921665529978,0.00191504160805615,0.0416415158551765,0.0353666748435165,"Ppp3r1/Ppp3ca",2
"GO:0006754","GO:0006754","ATP biosynthetic process","4/146","104/28832",0.0384615384615385,7.59536354056902,4.8069986108188,0.00196027492034051,0.0421566815286415,0.0358042116740042,"Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",4
"GO:0030490","GO:0030490","maturation of SSU-rRNA","3/146","50/28832",0.06,11.8487671232877,5.47742183219387,0.00209448108178723,0.0440798988696972,0.0374376248905424,"Rps21/Nob1/Rps28",3
"GO:0000422","GO:0000422","autophagy of mitochondrion","4/146","106/28832",0.0377358490566038,7.45205479452055,4.74771548779983,0.0021014103730537,0.0440798988696972,0.0374376248905424,"Tomm7/Ulk2/Cttn/Wdr45b",4
"GO:0007613","GO:0007613","memory","5/146","177/28832",0.0282485875706215,5.57851559476821,4.35895522969206,0.00211727669583625,0.0440798988696972,0.0374376248905424,"Acss2/Nfix/Vps13b/Atxn1/Fos",5
